127.0.0.1 - - [25/Jul/2023:09:32:03 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [25/Jul/2023:09:32:04 +0900] "GET /CookieSession/ex01_createCookie.jsp HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [25/Jul/2023:09:32:04 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [25/Jul/2023:09:38:22 +0900] "GET /CookieSession/ex02_readCookie.jsp HTTP/1.1" 200 355
0:0:0:0:0:0:0:1 - - [25/Jul/2023:09:40:13 +0900] "GET /CookieSession/ex02_readCookie.jsp HTTP/1.1" 200 760
0:0:0:0:0:0:0:1 - - [25/Jul/2023:09:40:26 +0900] "GET /CookieSession/ex02_readCookie.jsp HTTP/1.1" 200 782
0:0:0:0:0:0:0:1 - - [25/Jul/2023:09:42:58 +0900] "GET /CookieSession/ex02_readCookie.jsp HTTP/1.1" 200 272
0:0:0:0:0:0:0:1 - - [25/Jul/2023:09:47:04 +0900] "GET /CookieSession/ex02_readCookie.jsp HTTP/1.1" 200 272
0:0:0:0:0:0:0:1 - - [25/Jul/2023:09:47:20 +0900] "GET /CookieSession/ex02_readCookie.jsp HTTP/1.1" 200 272
0:0:0:0:0:0:0:1 - - [25/Jul/2023:09:47:35 +0900] "GET /CookieSession/ex01_createCookie.jsp HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [25/Jul/2023:09:48:24 +0900] "GET /CookieSession/ex01_createCookie.jsp HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [25/Jul/2023:09:48:26 +0900] "GET /CookieSession/ex01_createCookie.jsp HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [25/Jul/2023:09:48:27 +0900] "GET /CookieSession/ex01_createCookie.jsp HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [25/Jul/2023:09:48:33 +0900] "GET /CookieSession/ex02_readCookie.jsp HTTP/1.1" 200 272
0:0:0:0:0:0:0:1 - - [25/Jul/2023:09:48:34 +0900] "GET /CookieSession/ex02_readCookie.jsp HTTP/1.1" 200 272
0:0:0:0:0:0:0:1 - - [25/Jul/2023:09:48:35 +0900] "GET /CookieSession/ex02_readCookie.jsp HTTP/1.1" 200 272
0:0:0:0:0:0:0:1 - - [25/Jul/2023:09:48:35 +0900] "GET /CookieSession/ex02_readCookie.jsp HTTP/1.1" 200 272
0:0:0:0:0:0:0:1 - - [25/Jul/2023:09:48:36 +0900] "GET /CookieSession/ex02_readCookie.jsp HTTP/1.1" 200 272
0:0:0:0:0:0:0:1 - - [25/Jul/2023:09:48:36 +0900] "GET /CookieSession/ex02_readCookie.jsp HTTP/1.1" 200 272
0:0:0:0:0:0:0:1 - - [25/Jul/2023:09:48:36 +0900] "GET /CookieSession/ex02_readCookie.jsp HTTP/1.1" 200 272
0:0:0:0:0:0:0:1 - - [25/Jul/2023:09:48:36 +0900] "GET /CookieSession/ex02_readCookie.jsp HTTP/1.1" 200 272
0:0:0:0:0:0:0:1 - - [25/Jul/2023:09:48:37 +0900] "GET /CookieSession/ex02_readCookie.jsp HTTP/1.1" 200 272
0:0:0:0:0:0:0:1 - - [25/Jul/2023:09:48:43 +0900] "GET /CookieSession/ex02_readCookie.jsp HTTP/1.1" 200 272
0:0:0:0:0:0:0:1 - - [25/Jul/2023:09:48:44 +0900] "GET /CookieSession/ex02_readCookie.jsp HTTP/1.1" 200 272
0:0:0:0:0:0:0:1 - - [25/Jul/2023:09:48:44 +0900] "GET /CookieSession/ex02_readCookie.jsp HTTP/1.1" 200 272
0:0:0:0:0:0:0:1 - - [25/Jul/2023:09:48:44 +0900] "GET /CookieSession/ex02_readCookie.jsp HTTP/1.1" 200 272
0:0:0:0:0:0:0:1 - - [25/Jul/2023:09:48:45 +0900] "GET /CookieSession/ex02_readCookie.jsp HTTP/1.1" 200 272
0:0:0:0:0:0:0:1 - - [25/Jul/2023:09:48:45 +0900] "GET /CookieSession/ex02_readCookie.jsp HTTP/1.1" 200 272
0:0:0:0:0:0:0:1 - - [25/Jul/2023:09:50:36 +0900] "GET /CookieSession/ex02_readCookie.jsp HTTP/1.1" 200 248
0:0:0:0:0:0:0:1 - - [25/Jul/2023:10:09:24 +0900] "GET /CookieSession/ex01_createCookie.jsp HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [25/Jul/2023:10:09:35 +0900] "GET /CookieSession/ex02_readCookie.jsp HTTP/1.1" 200 304
